TCGA.04.1638	TCGA.25.1323	TCGA.25.1315	TCGA.61.2613	TCGA.42.2589	TCGA.25.1626	TCGA.13.0714	TCGA.13.0897	TCGA.25.1878	TCGA.24.1556	TCGA.29.1688	TCGA.24.1845	TCGA.13.1411	TCGA.61.1733	TCGA.13.1483	TCGA.36.1578	TCGA.13.1412	TCGA.13.0921	TCGA.10.0930	TCGA.13.0891	TCGA.13.1497	TCGA.13.1488	TCGA.09.1675	TCGA.13.0793	TCGA.13.0883	TCGA.30.1861	TCGA.24.1552	TCGA.57.1993	TCGA.31.1946	TCGA.13.0800	TCGA.24.0975	TCGA.13.0913	TCGA.13.1484	TCGA.24.1466	TCGA.09.2055	TCGA.29.1761	TCGA.10.0935	TCGA.13.0906	TCGA.61.1903	TCGA.29.2429	TCGA.24.1562	TCGA.24.2298	TCGA.13.1485	TCGA.24.2254	TCGA.61.2018	TCGA.24.1427	TCGA.25.1324	TCGA.24.1413	TCGA.13.0890	TCGA.29.1701	TCGA.04.1342	TCGA.13.1481	TCGA.25.1870	TCGA.24.1424	TCGA.09.1666	TCGA.24.1423	TCGA.61.1743	TCGA.25.2401	TCGA.09.2044	TCGA.30.1714	TCGA.30.1860	TCGA.13.0792	TCGA.61.1737	TCGA.13.0717	TCGA.13.0884	TCGA.25.1325	TCGA.13.1409	TCGA.24.1417	TCGA.13.0801	TCGA.24.1549	TCGA.04.1525	TCGA.30.1867	TCGA.13.0723	TCGA.61.2102	TCGA.04.1350	TCGA.24.1418	TCGA.13.2060	TCGA.04.1336	TCGA.61.2098	TCGA.61.1901	TCGA.31.1951	TCGA.23.1809	TCGA.04.1651	TCGA.24.1428	TCGA.09.2053	TCGA.30.1718	TCGA.13.2059	TCGA.13.1403	TCGA.09.1664	TCGA.29.2432	TCGA.09.1667	TCGA.36.2545	TCGA.04.1542	TCGA.04.1536	TCGA.04.1362	TCGA.23.2649	TCGA.13.0912	TCGA.13.0730	TCGA.13.0920	TCGA.25.1318
ERCC2	-1.02046730664788	1.72107490507667	-1.0119395505497	0.529338244586538	-1.15804015673723	0.321336520494417	0.62729095439435	-0.205688113340309	-1.0007095430572	-1.61640234846922	0.209863847635156	0.665593249036045	-0.881911479131922	0.0402154020057568	0.157926358356668	1.18523274692496	-0.219494321645141	-0.858805366516632	0.22886120263826	-0.0885782171503441	1.0797254247581	-1.083955098974	0.0312927147989967	0.151912395484593	0.00946688857061487	0.44748472571929	-0.577915700819915	-0.42466264688806	-0.895982521080773	-0.542986428897077	2.39099485132483	-0.128445676504494	0.684762940436254	0.123996647023601	-0.6695110513357	2.95811784643804	-0.707307743302983	-0.222337583288325	-0.175450946263735	-0.611102035184396	1.68531297359039	0.144412477487276	-0.418740548465865	0.679375622345256	0.250280675070875	0.490758848446904	-0.494720239358632	-0.746272113969584	0.981144250473481	0.539318300063086	-0.215411604655037	-0.0386631806122403	-0.0372261621503272	-0.373991541866062	0.440330570393186	-0.385655515527821	-1.10352483991605	-0.241683972749695	1.16696493790926	1.10376597269154	-0.528144953863851	-0.767994836324099	1.47088907971611	2.27416672661024	-1.48196460450607	-0.381299047522202	2.10784282735039	0.806654616466184	1.16596427774032	-2.07491721030139	-1.93504480273966	-1.16456603300576	-2.20824991061342	1.73177030256495	1.14228032872304	0.225029891490029	-1.04469897329994	0.0850004155114278	-0.543407757451966	-0.314542798144579	1.01662986633753	0.926902959562606	-0.154134043007663	-0.0340456919150907	-0.537927290990699	-0.788790781606001	-0.222053629902907	-1.43083324151436	-0.998385006811254	-0.26013562709118	-0.912016551175098	0.175393587492305	-0.237823319007804	0.661570503309686	-2.34009409119348	1.2488951416437	0.0369173296218407	0.311829219381491	0.841298273776636	1.24346591557193
SF3B4	-0.138265672482106	0.504291727304758	-1.68079887645438	0.209312249778477	0.396632635390853	-1.89971743996631	-0.91949937439781	2.08199879292276	0.134492939921391	-0.577460716260946	-0.947316242018962	1.13823686546188	-0.574125647422566	0.493530063833068	-0.628391864595685	-0.728123909045142	0.261487091950287	0.0104214416005497	0.235047673983887	-1.68961663515814	-0.410871789227108	-0.594835080775883	-0.897381175753881	-1.27692145002137	-0.517090249762298	-0.768159351651472	-0.0803787343757619	-0.646168916526582	-0.501352549998944	0.395213163804109	0.337600945199446	-0.282434296371233	0.0578215611176739	0.660436697630716	-0.352123294482573	0.634951750602453	-0.132381701912047	-0.662690183019466	1.33215442936425	0.0756673757466671	0.424187814957505	-1.70977679056635	0.14170273995806	-0.941376956095238	-1.62901548125985	-0.229947107209493	0.68046795853003	1.41781468004832	2.03824729920952	-1.06192848051435	0.73705751535718	-0.261300126931546	0.10280035334598	0.125932186350633	-0.155676655322846	-0.35612211188747	0.249272439447021	-0.648911379692814	0.547776258815518	-0.246110187292213	1.00607432364364	-1.54429137655099	0.0816687853028203	0.234287684958776	-1.7845442620931	-0.608235369694899	1.44844765624907	1.139330650766	0.265965696782014	1.21167089293267	-0.337431081916418	-0.702065945309098	0.556049373566575	2.10260242425815	-0.333935051667913	0.232811061138845	2.5287127513503	-0.436201003122201	0.755263909844239	-0.514084287145943	-1.03242478359385	0.240492638502849	0.978836670414782	-2.68026016631658	0.489411916536686	-0.467955769394621	-0.27998395413306	-0.561647376204524	-1.25882096764269	0.248065271174356	2.70112501052347	-0.124316762083244	0.547866496286592	3.09100636299394	0.326687290650484	0.967560737760648	-0.211260894714925	-0.37435452339787	0.843893960470999	-0.0243042143061283
HSF2	-0.0302012431204956	0.729116721041962	1.89683752668887	-0.203428156214898	0.25651080051724	-0.677050422286612	0.0583652754066619	-0.505050087459297	-0.544497816685013	-0.16688369868017	-0.609291157137949	-0.782180233552279	0.13487021904408	-0.821906457964131	-1.08602170183511	-0.503873034128873	-0.565021351143477	-0.380107262899057	-2.39643189488798	2.00049347764496	1.53125490299143	0.465193594039382	-1.80572772358804	-0.843656367567273	-1.23290740536549	-0.782252387146099	-0.0866355055053113	0.771413417490145	-0.730084668920113	0.615967000994362	-0.969567165816572	0.348713970351481	-1.59588025899551	-1.74019957345518	-0.607969008751141	2.06245619549631	-0.65386560468654	-0.531681451230609	-1.94820756868493	0.387292076117609	-0.988780965950258	-0.272874452487079	-0.0150275466934525	0.63938600950019	1.24942230076344	-0.779378272753767	1.3402879874948	-0.765576052683009	-0.278104469839956	1.45342027081714	0.0337636584802612	-0.217322330210957	0.70683531498073	1.12955280103078	-0.171873109331578	-0.15944813101076	2.54615432921858	-0.555207548333014	2.47238229194141	1.2674902976417	-0.246048583620246	-0.473034107612034	0.110237093523249	-0.288833701239305	-1.07570685451411	0.0706729525875156	0.488512657086711	-0.360932751563621	0.78537243369914	2.16676904022247	-0.0972685563918411	0.111825709787438	1.57996004478973	1.31791430230723	-0.1004388786548	0.643305481064521	0.276754481536685	-0.392627967271949	2.01661569827738	0.139837640155812	-0.855938595972258	0.477998256360191	-0.587931550323004	-0.279471916575908	-1.17479793912112	-0.340185867601562	-1.76495073361356	0.6471457769497	0.599811882738507	-0.134936145438266	0.382482632947225	-0.452496758777957	-0.83596996936843	0.126158521498279	-0.389770517124193	-0.527620089430139	-0.361084892300363	1.57776656281678	1.19961936338353	-1.07172250790898
THEG	3.3770860409932	-1.7411604665357	-1.71544749764376	-0.451933415788157	-0.0461730682262258	-1.17581904441481	0.889932420617006	1.82687657087515	0.502400462466118	-0.900331574647286	0.616801102760942	-0.00438458793543285	-0.439922790618096	-0.750906576877582	0.0512345366360409	-0.23607924826348	0.218813296128505	0.627948991150448	1.6210236805022	-0.65032399221104	-0.00135114716845714	-0.444701026903049	0.486860772781139	1.21999907059838	0.865426065416085	-0.694192520217076	0.97201548215464	0.0314896328502091	-0.200837259880383	0.126831913397495	0.452648743555484	-0.905461901921108	1.20392926660832	1.52980176059339	1.7394090253983	-0.10717964796305	-0.190444690634742	-1.77005397884941	0.55212818896763	2.36895479383462	0.394099319444955	-0.548016634966008	-1.15616441115232	-1.01309544126084	1.90175753648473	-1.22628333082506	0.0404706526098847	0.0121986132376645	-0.365074862443879	0.495469197464624	-0.607760621949949	0.550624480314808	-0.935693959215132	-0.620578046316963	0.390730808985066	-1.08207761322642	-2.00870527228375	-0.273182324766623	0.0346663823936458	0.402728646407074	-0.240755886311845	0.732651545177195	-1.27533236097538	-0.410452809276751	-0.191727844161903	-0.012998956453807	0.6378619113093	-1.94460950914418	0.378169315170428	-0.0753041555789366	-0.772649220298932	-0.0752440729343901	1.1218200931224	-0.880231612794272	0.648775206946809	-1.05319474146942	-0.270868125351565	0.750049726443043	0.022363498627084	0.105372529172486	-1.43345222550837	0.403269063912334	0.174297409980525	-1.05482111793312	-0.442673006753949	-0.438779167197763	2.35904299082361	0.735879736060677	-0.377629520641004	-0.18723668169075	-0.66394501503582	1.42366105430629	0.223782494182071	0.875177960050335	0.467684660396724	-0.479398913128646	0.464514716053408	-2.20807871621106	-1.30739314228453	1.0313823888797
UGP2	-2.09222501994724	0.116066333452496	1.172374906614	-0.14679508334274	1.48174621138981	1.04986875877348	-0.61558680831521	0.684496488115932	-1.07566456160331	0.574852102986604	-0.96050866292334	-2.0473728674885	1.18659274750727	1.05500124787965	-0.668951414195332	-0.754353976405518	-1.59584647806965	0.471001434471104	0.087506605665933	-0.652489409052784	0.912600325033699	-0.130411792467384	0.776347464214912	-0.280748374776815	-1.30275390560375	-0.593161246508637	1.40694214010299	0.112010196842053	0.662931187124206	1.43610021171008	0.356559530004224	0.737034444979513	-1.16485335329723	-1.33896363188414	0.623795082910387	-0.878813506034583	-0.965637895913192	1.34175187113393	-1.08142142924995	-0.282416105069414	0.610624616309211	0.566721498124546	-0.375441728208302	-1.03761656013563	0.908244171931182	0.348879116143999	0.0220940312054199	-0.103158491115415	1.33739370202457	0.621121597309068	-0.49058023409239	-0.490480621754261	0.606969637586793	1.76001503437939	0.270901033451598	2.47220515913356	-1.10500004749682	1.8849040691506	1.91917104409958	-0.469480504681021	0.567908445837787	0.23608026957018	0.880572143684183	-0.862233709439567	-0.575534415727941	0.655514149210628	-1.11840067898455	1.18783022328676	1.25825543865715	0.469856191952061	-2.0172981588752	-0.15844521836218	0.486486705140284	-0.873152121133106	0.3803013746999	0.789804301367106	-0.473047531315417	-0.132033628288408	0.985152573518924	1.16456632663451	0.223717908133125	-0.434057991178049	-0.848670598979266	0.638221565353989	-0.924524364671314	-0.0341007299657226	-0.471978867687896	0.704255786135173	0.152422137807684	-0.0924169357064155	0.0616656317396127	-0.443185110685881	-2.23582960972107	-2.1227073683653	-1.4660862099212	-0.852974077271402	-1.80009174842185	-0.42670974002428	0.105386272883816	0.541391076983901
APOOL	0.579228332762903	0.0610446070298161	-0.287075288413259	0.0867619620670071	0.2271166202956	-0.374242345554644	1.99880640801573	1.21640806634948	-0.916798506412967	0.315232792156559	0.434618502817092	-1.96572678693839	-0.281025430428651	-0.979193110780694	0.474908645507006	-1.27668888457415	0.983162308419326	0.933421472020237	0.229206770622906	0.849077722777718	-1.24642200235471	-0.460041249335087	-0.120605411282114	0.200953403529623	-0.265268595936398	1.55759461197424	-1.40842303223981	-0.474729633572272	0.445919714454918	0.0109319464730019	0.561143715924396	1.44574277309748	-1.17119847816193	-0.785134787248843	-0.382123658544709	-0.207178902788703	-1.24611833223816	-0.89082229753713	0.144421522442929	-0.966076744777582	0.815714188340152	-0.84014687167051	-1.06352968688248	0.0851434350047117	-0.839055698288273	0.219886699867854	-1.08351733161698	-0.512645720306183	-0.330663207387882	2.34750187488043	-0.98992061331359	-0.311121431540986	1.4015664142054	-1.08697834338574	-0.180100518442232	0.658833588483579	0.417682424032912	-0.401756306446501	2.06280629664573	-0.599058683386544	-1.21216019209107	0.340724294506849	0.461105324976542	-0.568862051720755	-0.762765626041989	2.82711665784931	-1.48506911173555	-0.76750435989575	-1.08282601941175	0.16369059621926	1.34956937755479	0.793461910260537	0.57762535875511	-1.36925667341668	-0.766234151506916	-0.551802857542493	0.568989251162048	0.244550560454096	-1.5332604147412	-1.19958285478579	-1.06968437969507	-0.551238264687421	0.153815959052215	0.290753914536212	1.80074863104079	0.72243525735244	-0.00525610688675559	0.72100192904342	-0.661176887640237	-0.587725629303625	0.734016622372975	0.233061553455592	1.09873790628055	2.27045721461432	1.67786915392782	1.05414843113917	-1.5291932296275	1.74534808637924	-0.262524547458691	-0.684553561154659
MEN1	0.614340300133787	-0.249023650916734	-0.0387477991074313	-0.711977612719144	-0.375524470339032	-1.96116168041976	1.34130784778474	-0.440609977643636	-0.145286916005988	-0.496191353112879	-1.05272596437462	-0.172985959643276	-0.22351294716253	-1.02574606889951	0.481218637088154	1.85464704853717	1.6426409548736	-2.03378982565022	-1.36303670535442	0.0960168233558092	1.62234046669028	-0.582889389675753	1.5120520972541	-0.843561131867353	0.26429582931872	-1.25291958002267	0.823219939101117	-0.717198999567908	0.860869439840528	0.840668753608726	-0.43408863462945	1.89569001012011	1.6422630967542	1.18280402331484	2.22708871052471	-0.248742841848245	0.315661381818729	-0.310849513799493	-0.785913828748794	0.922054950188174	-0.173244040773931	-1.72236160031396	-1.60754941919901	0.0209666910554477	-1.41045331497293	0.140862270626425	-0.79687425341097	-0.171599640675672	-0.104820576048436	0.642903633305418	-0.0365841356827621	0.919390293668881	-1.91644066833866	0.435539105353607	1.4204733648022	0.403498856310045	-1.35615210191754	0.229199567659336	1.32027621176999	0.906277630179597	0.672132418070234	0.286985334595246	-0.789603664014678	0.407169968730304	-0.648421833335828	-0.346504458209029	-0.588693635096557	-0.76369307653506	0.226226516638792	-1.57868590460641	-0.236968246530434	-0.804254604664347	-1.19571965506831	0.179923627598543	1.80654234222679	-0.432833409197102	1.01708441534174	-0.827194134064989	0.445283948513244	0.234041297939023	0.186524797527024	0.737793041488947	-0.297532206426027	-2.52846534593056	0.608134606648496	-0.513084118914793	1.28755874317346	-0.505634085540037	-0.801152504674505	-0.0795862644759582	-0.168642106986305	0.500867056400969	0.012937894243402	1.44237880004415	1.9588489636227	0.228343901799255	0.284834824584919	-1.3835248169806	0.752348903218497	-0.601770663349943
TMED7	-0.115479054669239	0.251197344097459	-0.213947843878758	0.639586927484731	1.51362716304159	1.09596944937193	-0.471952359669875	1.80075988440103	-0.347498791127536	-0.279304095710424	0.869537681857697	0.681492798741977	0.716811237104125	0.15361690256977	0.699056665339302	-1.87738006804321	-1.73621563563368	0.127642733786016	0.783176798398345	-0.563498107925214	0.227901545660889	0.249690692858353	0.872894862189994	-0.497958649163304	-0.687578881498493	-0.245030413912424	-0.622851370987701	0.467709361017647	1.52590270764274	-0.242201207285914	1.07378334766763	2.07231007554858	-0.732610440769978	-3.12241338321893	2.50421034096477	0.202251270298885	-0.895153701620609	-0.65380227849539	-1.56207401880904	1.09465353590135	0.681271207357199	-0.901793284212459	0.106195684426314	-1.71430361406164	0.315866647639839	0.306036289074279	-0.778005397219832	1.01011990548537	0.142699172458335	0.530541923529776	-0.886024451059035	-0.382032898659085	-0.138814296007168	-0.901419403629049	-0.292574311910966	0.560814545928959	-2.27659391655789	-0.124306986936703	1.23458069178848	-0.663222510650674	-0.531872979570951	1.21513448183798	1.66969514397912	-2.38124967845808	-0.706450963376148	0.157980217024149	-0.281543684427309	2.09283925373229	0.173263394784127	1.19653545533349	-0.358112040644802	-0.453691644936686	0.0347687858180135	0.351805407563115	-0.203943776150144	0.520457682257698	-0.284160763748497	-0.74115250437218	0.807701431863549	-0.30266040926844	0.362370201080502	0.400144893528448	0.195177899468068	1.68063453095581	-0.8114165698269	-0.380497308570982	-0.251275681594295	1.15169643232078	0.0236042409036984	0.493896798142827	0.468382447348323	-0.489831220694041	-2.45170137914983	-0.50328993931905	0.589062069404666	-0.232171440164137	-0.928542259978798	-0.804825462795547	-1.1418039877422	0.069174907133242
MSC	0.320802517095719	-0.88882844612487	-1.58421668421851	-0.106116306710404	1.02342462023558	1.61352095024677	1.58362203071307	-0.152427528331369	-0.288336692825254	1.35786774176189	0.421583641506197	-0.927155719825132	1.88909114481331	-0.241473751102769	0.767200133500738	0.137509298663103	1.19821820055827	0.766683693711987	1.64937782274387	-1.52697941083555	0.214113096119302	-0.766553710732749	-0.182552774356699	1.31637595027254	0.423546016489608	0.809632271306122	-0.553925415583361	-1.19007157523536	1.03957512811857	-0.764066477820858	1.98818593426358	-0.68670812388939	0.779343121232109	-0.370291880111389	-0.156484235238066	0.118301454295554	-0.347703618438149	-0.38954381372875	-0.60228376606882	1.29450971748321	0.239123382402295	0.902719637652724	1.3508105422391	-0.451631574202702	1.33668151457606	2.19692195790217	-0.441366951459766	-0.619357289206988	1.91080501121608	0.723877768563074	-0.0183567063820398	0.757975209862642	-2.15367300055989	-0.654677321610113	-0.794903394315997	-1.97019322783212	-1.2677089813003	1.23938218852098	-1.05358512998194	0.728243734407067	0.667019481727629	0.963987385387232	0.970669689164763	-0.58882272642064	0.0329814827388377	-0.403180885854431	-0.471308838129361	0.542965003961957	0.230737022949079	-1.28696595414614	-0.872804522290081	-0.103672448871952	-0.640749139768439	0.693537555449814	-0.994155115742376	1.22774570609936	0.418010931355371	-0.949026923282014	-1.24051883104636	-0.456583843424847	-0.152488309882684	-0.744559890620253	-1.6491477248068	-0.599725618299909	0.293811179831522	1.1670238942091	0.489045832853865	-0.491732032423398	-1.86359948363589	0.482600992148637	0.52091918723886	-0.01969664980434	-1.29049201315368	-0.968521330633103	-1.80717926116012	-1.56049518690399	-0.450951167517747	1.04173823694049	-0.575365217660443	-0.508902391021497
KIAA0284	-1.51990987443506	0.581997619848805	0.0457852036131378	-0.00436096331455029	-1.24757783447957	-0.431446093845228	0.629808449834957	-0.275501326033097	-1.16704549900479	-0.301284414615955	0.271639011235731	0.409044721363048	-0.738969400272261	-0.616443479859053	-0.240580148813277	-1.2380088867104	2.40336114501052	-1.76148581897128	-0.453469615889962	0.139450828499634	0.597252322669772	0.426136563699889	0.980195175827054	-0.287192535189665	0.485967781593129	0.0863972678977645	-0.201173318123214	0.520503344345106	0.578987490439997	-0.825847348174063	0.664436015135731	-1.91709849862604	1.46732261742521	-0.183357482107807	-1.34210681609672	-2.13374569666588	-0.609322642938315	-1.01654345529775	1.12951294106044	-1.36091314294129	0.370799172102563	0.20307379092972	0.694739835354934	1.05387783746471	-1.9025132180863	0.527805642429006	-1.77758478361554	-0.0543427364357874	0.345919324994752	-0.779802763240482	0.295712453713999	-0.660457863444074	-0.655892380941779	-0.264521847723461	0.461687129598394	0.740436525448961	0.98880525229107	0.823921777473033	-0.262808058229298	-0.290954296615527	0.0889571640296565	-1.41739822881234	-0.792321787961423	1.9933182932128	-0.385599067287034	0.508345352991913	0.0557208649716865	-0.754401818164082	0.029156430232067	1.11447425605191	-0.685783355917996	0.118531663501785	0.157665090023148	-2.42955167600419	0.500407603082939	0.136374713866608	0.861124009740489	0.420849837801654	-1.04955323229102	-0.750106791412534	3.41418832872001	1.63251891199652	1.79241739741047	0.00461775470852698	0.172986829314846	0.235230810919136	0.97886413143159	-0.317206696956931	0.841969531404384	-0.373470159736284	-0.72047612930079	0.284835095174236	-0.471699991051427	1.69459388108532	0.732245958966564	0.371954734299405	1.99064364182072	-0.834811833304903	-0.779626736939662	0.22770021781865
